year_month,monthly_rainfall_mm,avg_temperature_c,Region
2022-01,74.7,26.070967741935487,Western Province
2022-02,50.6,26.525000000000002,Western Province
2022-03,53.3,27.174193548387095,Western Province
2022-04,210.6,26.65,Western Province
2022-05,592.6,26.86774193548387,Western Province
2022-06,286.4,26.663333333333334,Western Province
2022-07,153.2,26.64516129032258,Western Province
2022-08,314.1,26.203225806451613,Western Province
2022-09,188.4,26.256666666666668,Western Province
2022-10,408.5,25.741935483870968,Western Province
2022-11,272.8,25.279999999999998,Western Province
2022-12,198.6,25.29032258064516,Western Province
2023-01,85.9,25.148387096774194,Western Province
2023-02,67.3,25.567857142857143,Western Province
2023-03,141.2,26.406451612903226,Western Province
2023-04,138.2,27.31,Western Province
2023-05,238.3,27.30322580645161,Western Province
2023-06,379.3,26.990000000000002,Western Province
2023-07,250.1,26.883870967741935,Western Province
2023-08,149.6,27.006451612903227,Western Province
2023-09,554.6,25.993333333333332,Western Province
2023-10,564.4,25.57741935483871,Western Province
2023-11,488.6,25.503333333333334,Western Province
2023-12,410.4,25.861290322580647,Western Province
2024-01,138.1,25.958064516129035,Western Province
2024-02,38.3,27.53103448275862,Western Province
2024-03,79.89999999999999,28.038709677419355,Western Province
2024-04,177.2,28.123333333333335,Western Province
2024-05,656.3,27.70967741935484,Western Province
2024-06,355.6,27.053333333333335,Western Province
2024-07,316.0,27.129032258064516,Western Province
2024-08,334.0,26.729032258064517,Western Province
2024-09,310.4,26.993333333333332,Western Province
2024-10,410.6,26.26451612903226,Western Province
2024-11,354.2,25.77,Western Province
2024-12,130.0,26.62258064516129,Western Province
2022-01,33.2,23.4741935483871,Central Province
2022-02,54.3,24.07857142857143,Central Province
2022-03,45.1,24.89032258064516,Central Province
2022-04,234.3,23.926666666666666,Central Province
2022-05,188.3,24.164516129032258,Central Province
2022-06,75.1,23.926666666666666,Central Province
2022-07,131.6,23.780645161290323,Central Province
2022-08,219.9,23.31935483870968,Central Province
2022-09,92.8,23.37,Central Province
2022-10,278.5,22.770967741935483,Central Province
2022-11,175.29999999999998,22.586666666666666,Central Province
2022-12,191.0,22.306451612903224,Central Province
2023-01,39.7,22.287096774193547,Central Province
2023-02,50.8,23.185714285714287,Central Province
2023-03,49.8,24.62258064516129,Central Province
2023-04,127.6,25.39333333333333,Central Province
2023-05,104.5,24.651612903225807,Central Province
2023-06,74.3,25.05,Central Province
2023-07,136.9,24.24516129032258,Central Province
2023-08,33.6,25.325806451612905,Central Province
2023-09,107.7,23.736666666666668,Central Province
2023-10,350.3,23.396774193548385,Central Province
2023-11,545.2,23.37,Central Province
2023-12,229.1,23.61935483870968,Central Province
2024-01,105.7,23.496774193548386,Central Province
2024-02,27.3,24.83103448275862,Central Province
2024-03,42.1,26.032258064516128,Central Province
2024-04,69.3,26.956666666666667,Central Province
2024-05,357.6,25.364516129032257,Central Province
2024-06,114.4,24.32,Central Province
2024-07,137.1,24.383870967741935,Central Province
2024-08,144.4,23.938709677419357,Central Province
2024-09,104.8,24.203333333333333,Central Province
2024-10,178.2,23.419354838709676,Central Province
2024-11,526.6,23.040000000000003,Central Province
2024-12,122.3,23.177419354838708,Central Province
2022-01,98.9,25.37741935483871,Southern Province
2022-02,106.8,26.035714285714285,Southern Province
2022-03,106.0,26.738709677419354,Southern Province
2022-04,176.5,26.766666666666666,Southern Province
2022-05,511.0,26.770967741935483,Southern Province
2022-06,286.6,26.53666666666667,Southern Province
2022-07,178.29999999999998,26.5258064516129,Southern Province
2022-08,293.5,26.15806451612903,Southern Province
2022-09,176.20000000000002,26.223333333333336,Southern Province
2022-10,364.6,25.73225806451613,Southern Province
2022-11,210.4,25.533333333333335,Southern Province
2022-12,210.1,25.361290322580647,Southern Province
2023-01,126.3,24.86774193548387,Southern Province
2023-02,163.10000000000002,25.417857142857144,Southern Province
2023-03,141.3,26.10967741935484,Southern Province
2023-04,127.1,26.876666666666665,Southern Province
2023-05,221.3,27.293548387096774,Southern Province
2023-06,277.59999999999997,26.933333333333334,Southern Province
2023-07,271.3,26.612903225806452,Southern Province
2023-08,188.7,26.929032258064513,Southern Province
2023-09,624.6,25.956666666666667,Southern Province
2023-10,480.5,25.467741935483872,Southern Province
2023-11,468.3,25.473333333333336,Southern Province
2023-12,390.7,25.738709677419354,Southern Province
2024-01,228.6,25.725806451612904,Southern Province
2024-02,80.1,27.03448275862069,Southern Province
2024-03,110.3,27.38064516129032,Southern Province
2024-04,223.2,27.586666666666666,Southern Province
2024-05,625.2,27.312903225806455,Southern Province
2024-06,336.1,26.973333333333336,Southern Province
2024-07,245.6,27.0258064516129,Southern Province
2024-08,371.1,26.574193548387097,Southern Province
2024-09,327.40000000000003,26.653333333333332,Southern Province
2024-10,295.7,26.248387096774195,Southern Province
2024-11,388.7,25.56,Southern Province
2024-12,171.7,26.06451612903226,Southern Province
2022-01,45.2,25.81935483870968,Northern Province
2022-02,65.4,25.925,Northern Province
2022-03,14.4,27.719354838709677,Northern Province
2022-04,176.1,28.33,Northern Province
2022-05,41.8,29.183870967741935,Northern Province
2022-06,60.4,28.603333333333335,Northern Province
2022-07,65.89999999999999,28.583870967741937,Northern Province
2022-08,125.4,27.812903225806455,Northern Province
2022-09,64.60000000000001,27.553333333333335,Northern Province
2022-10,257.1,27.032258064516128,Northern Province
2022-11,217.9,26.063333333333333,Northern Province
2022-12,188.6,25.738709677419354,Northern Province
2023-01,31.700000000000003,25.083870967741937,Northern Province
2023-02,108.9,25.535714285714285,Northern Province
2023-03,29.200000000000003,27.838709677419356,Northern Province
2023-04,58.8,29.253333333333334,Northern Province
2023-05,87.9,29.203225806451613,Northern Province
2023-06,83.9,29.493333333333332,Northern Province
2023-07,44.9,28.980645161290322,Northern Province
2023-08,8.0,28.98709677419355,Northern Province
2023-09,35.4,28.64,Northern Province
2023-10,143.3,28.029032258064515,Northern Province
2023-11,546.7,26.253333333333334,Northern Province
2023-12,282.7,26.270967741935483,Northern Province
2024-01,55.3,26.29032258064516,Northern Province
2024-02,15.700000000000001,27.851724137931036,Northern Province
2024-03,3.6,28.822580645161292,Northern Province
2024-04,29.3,30.540000000000003,Northern Province
2024-05,269.5,29.761290322580646,Northern Province
2024-06,64.9,28.883333333333333,Northern Province
2024-07,56.1,29.15806451612903,Northern Province
2024-08,124.5,28.61935483870968,Northern Province
2024-09,32.3,29.209999999999997,Northern Province
2024-10,275.7,27.612903225806452,Northern Province
2024-11,538.6,26.2,Northern Province
2024-12,181.6,26.493548387096773,Northern Province
2022-01,164.0,25.438709677419357,Eastern Province
